,word,year,proportion,zipf_test,moment
59,freegan,1997,2.770133287179219e-08,-0.04353893643951491,0.1474496432306384
202,steel band,1949,2.7701368682151164e-08,0.28880604565979073,0.1474496432306384
131,props,1990,2.770133287179219e-08,17.228444766212217,0.1474496432306384
384,sagebrush,1850,2.770133287179219e-08,2.3103369486865866,0.1474496432306384
278,mass number,1923,2.7701368682151164e-08,0.1976551682794613,0.1474496432306384
214,overbuild,1945,2.770133287179219e-08,1.3642613334592737,0.1474496432306384
216,turbojet,1945,2.770133287179219e-08,3.2001875385007885,0.1474496432306384
367,cryptorchid,1857,2.770133287179219e-08,2.9234820716555183,0.1474496432306384
332,mugwump,1884,2.770133287179219e-08,4.035846159962484,0.1474496432306384
351,shot hole,1875,2.7701368682151164e-08,-0.23997483798697744,0.1474496432306384
309,jojoba,1900,4.616888811965365e-08,5.79697212861289,0.1612173212844208
283,airmail,1911,4.616888811965365e-08,0.6441522708759579,0.1612173212844208
215,synchrotron,1945,4.616888811965365e-08,3.0663664562198805,0.1612173212844208
208,heliport,1948,4.616888811965365e-08,1.9396999105324015,0.1612173212844208
365,roustabout,1860,5.540266574358438e-08,2.406226712473861,0.16187785741283378
167,macchiato,1987,7.571697651623198e-07,2.061240068933253,0.16240426686463624
228,market basket,1943,1.8467579121434101e-07,2.63211889010278,0.16584018797077274
135,pescatarian,1991,3.6935110495722924e-08,1.407091126645833,0.1708849925308507
328,cloverleaf,1884,3.6935110495722924e-08,2.647169771556424,0.1708849925308507
408,auric,1799,3.6935110495722924e-08,8.11072093081133,0.1708849925308507
264,growth factor,1926,3.693515824286821e-08,2.29694056615872,0.1708849925308507
317,dermestid,1888,3.6935110495722924e-08,2.2270529447881326,0.1708849925308507
382,outer planet,1850,3.693515824286821e-08,0.02257756177934824,0.1708849925308507
184,unit train,1962,3.693515824286821e-08,1.321270404161751,0.17088499253085074
142,bcc,1989,3.878186602050907e-07,23.838146205537377,0.17923824432314425
256,whodunit,1929,5.540266574358438e-08,1.8591836881977688,0.18158500886758291
57,exogen,1998,4.616888811965365e-08,5.744221073033959,0.19176153621747705
337,lakefront,1880,4.616888811965365e-08,0.3484381680898344,0.19176153621747705
375,ischemia,1855,4.616888811965365e-08,1.8075681336559624,0.19176153621747705
178,white hat,1965,2.954812659429457e-07,1.4797043157640966,0.19515076756555355
366,coelacanth,1857,8.310399861537656e-08,1.0487742196858585,0.19958032810309675
146,stick blender,1990,6.463652692501936e-08,1.276762602020646,0.2004330571652897
344,direct object,1879,9.233789560717052e-08,2.19311959666728,0.20255160987639248
169,olestra,1987,2.40078218222199e-07,3.472384586339344,0.20766156334030095
219,lawman,1944,5.540266574358438e-08,0.1654757638540536,0.21084660295740604
205,crew sock,1948,5.540273736430233e-08,1.6341941231734562,0.21084660295740607
400,wind rose,1846,5.540273736430233e-08,2.697673770748084,0.21084660295740607
217,booster shot,1944,1.1080547472860463e-07,1.0398914949942633,0.21084660295740607
71,leptin,1995,1.6620799723075313e-07,5.960778406684632,0.2150483430831568
186,riel,1956,8.310399861537656e-08,40.62416003779901,0.2150483430831568
286,folk art,1911,7.387031648573642e-08,2.0362364707021032,0.21808718169462374
53,webinar,1998,1.1080533148716876e-07,1.1966405272417486,0.2206716806884008
267,comma splice,1924,2.031433703357751e-07,0.6868121842733965,0.22711787869418826
69,bioterror,1996,6.463644336751512e-08,1.1311992504736068,0.22859492360449385
307,full nelson,1900,6.463652692501936e-08,1.8335670314249333,0.22859492360449385
318,garbageman,1888,1.3850666435896095e-07,10.941839066521355,0.23299667400087395
402,octal,1801,8.310399861537656e-08,4.829147400028932,0.2347784579388645
236,moola,1937,8.310399861537656e-08,1.4023366664052264,0.2347784579388645
311,okapi,1900,2.1237688535040679e-07,5.3211512176156965,0.2435987457925272
372,cocoa bean,1855,1.1080547472860463e-07,4.141299055886912,0.2453021813461107
360,albedo,1860,9.23377762393073e-08,2.5882082536216933,0.250677202143519
302,glandular fever,1902,9.233789560717052e-08,0.03666328062157498,0.250677202143519
213,kata,1945,1.477404419828917e-07,10.06396512202036,0.2538603718191944
31,reggaeton,2002,1.754417748546839e-07,8.167844678332267,0.2581345943121689
70,gastropub,1996,8.310399861537656e-08,2.082324057923868,0.2611734278844873
67,triptan,1997,1.0157155386323805e-07,3.0697514427457016,0.2659128826236357
172,uncompress,1987,1.2927288673503024e-07,11.417969852022786,0.2733700473638232
187,crenshaw,1955,9.23377762393073e-08,3.6629514024247833,0.2763577868879876
346,rickshaw,1879,9.23377762393073e-08,2.592782299975831,0.2763577868879876
330,deck chair,1884,2.2161094945720926e-07,2.023201733932133,0.2861557708383569
221,sealant,1944,2.1237688535040679e-07,0.9265462136216231,0.2946168907365849
0,photobomb,2008,1.200391091110995e-07,3.1044359972594,0.2947783595778885
249,hand puppet,1929,1.2003926428932164e-07,2.2531180416992664,0.29477835957788856
93,dwarf planet,1993,3.416502137465309e-07,2.8639411185262222,0.29545194544853315
196,cerveza,1949,2.5854577347006047e-07,7.37758723201608,0.2985005261344846
387,fire chief,1847,1.5697442253218986e-07,1.8954032280374216,0.2989318231751073
353,buffalo soldier,1872,1.4774063297147285e-07,18.952887162045986,0.3000067448317735
385,wastebasket,1850,1.754417748546839e-07,1.088637791860682,0.3001304184019345
20,botnet,2003,2.1237688535040679e-07,2.009676940199629,0.30927548487666806
113,smack talk,1992,1.7544200165362398e-07,1.5362412785910025,0.3112825801535699
158,new jack,1987,1.6620821209290692e-07,1.1567438230136369,0.31146455200378714
285,dream team,1911,2.123771598964921e-07,2.157743164481372,0.3174758405613444
411,platypus,1799,3.7858488258116e-07,5.108736838920938,0.31921518873694743
398,tromp,1846,1.3850666435896095e-07,4.279383898488682,0.3219667354255457
116,soul patch,1991,1.7544200165362398e-07,3.1261522470376444,0.3237780721471771
114,cybersex,1991,1.6620799723075313e-07,1.7445418509096169,0.3255105012006049
275,flash card,1923,6.278976901287594e-07,1.7063490492125932,0.3268430838287001
206,dim sum,1948,3.60117792867965e-07,4.285526034357789,0.3282082333390447
395,air brake,1846,1.2927305385003873e-07,4.420576207618443,0.3321407236661297
230,permafrost,1943,1.754417748546839e-07,3.0979583650041813,0.33791021867898624
394,weeklong,1847,1.846755524786146e-07,3.6603071900157165,0.3501070634938536
396,high jump,1846,3.231826346250968e-07,1.6599169219112424,0.3516610305778084
227,jarhead,1943,3.970524378290215e-07,2.6996909577220345,0.3554381882019623
212,black box,1945,1.0526520099217438e-06,4.7681466650125985,0.3574908739217248
325,vindaloo,1888,2.5854577347006047e-07,3.215594179867121,0.370976767973734
388,ironclad,1847,2.8624710634185265e-07,1.8887538509439004,0.3762767185332912
304,spritz,1902,3.508835497093678e-07,2.6121442130496098,0.3833461298315639
197,clock radio,1949,2.123771598964921e-07,2.546938013882389,0.3856757737843022
390,love seat,1847,2.123771598964921e-07,2.2178140820683128,0.3856757737843022
